year,age,site,plot,subplot,spp,foliage,f1hr,f10hr,f100hr,f1000hr,height
1940,Old,13-12A,6,1,ABLA,0.752339934,0.300935973,0.319744472,0.489020957,0.018808498,178
1940,Old,13-12A,6,1,ABLA,0.538960664,0.215584266,0.229058282,0.350324431,0.013474017,154
1940,Old,13-12A,6,1,ABLA,0.917284876,0.366913951,0.389846072,0.59623517,0.022932122,194
1940,Old,13-12A,6,1,ABLA,0.995307712,0.398123085,0.423005778,0.646950013,0.024882693,201
1940,Old,13-12A,6,1,ABLA,1.947225956,0.778890382,0.827571031,1.265696871,0.048680649,269
1940,Old,13-12A,6,1,ABLA,0.515087201,0.20603488,0.218912061,0.334806681,0.01287718,151
1940,Old,13-12A,6,1,ABLA,0.551746898,0.227189899,0.248827032,0.054092833,0,140
1940,Old,13-12A,6,2,ABLA,0.547054695,0.218821878,0.232498246,0.355585552,0.013676367,155
1940,Old,13-12A,6,2,ABLA,2.503266565,1.001306626,1.06388829,1.627123267,0.062581664,300
1940,Old,13-12A,6,2,ABLA,0.530934827,0.212373931,0.225647302,0.345107638,0.013273371,153
1940,Old,13-12A,6,2,ABLA,0.676738236,0.270695294,0.28761375,0.439879853,0.016918456,170
1940,Old,13-12A,6,3,ABLA,0.254218431,0.104678177,0.114647528,0.024923376,0,100
1940,Old,13-12A,6,4,ABLA,0.983940709,0.393576284,0.418174801,0.639561461,0.024598518,200
1940,Old,13-12A,6,5,,0,0,0,0,0,0
1940,Old,13-12A,6,6,,0,0,0,0,0,0
1940,Old,13-12A,7,1,,0,0,0,0,0,0
1940,Old,13-12A,7,2,,0,0,0,0,0,0
1940,Old,13-12A,7,3,,0,0,0,0,0,0
1940,Old,13-12A,7,4,,0,0,0,0,0,0
1940,Old,13-12A,7,5,ABLA,1.963937207,0.785574883,0.834673313,1.276559185,0.04909843,270
1940,Old,13-12A,7,5,ABLA,0.874311905,0.349724762,0.37158256,0.568302738,0.021857798,190
1940,Old,13-12A,7,5,ABLA,1.930595456,0.772238183,0.820503069,1.254887047,0.048264886,268
1940,Old,13-12A,7,6,,0,0,0,0,0,0
1940,Old,13-12A,8,1,,0,0,0,0,0,0
1940,Old,13-12A,8,2,ABLA,0.507265141,0.202906056,0.215587685,0.329722342,0.012681629,150
