Year,Age,Site,Plot,Line,BulkDensity,Veg_Type,Veg.Cat,
2010,Old,13-103A,1,2,0,DH,Grass/Herb,
2010,Old,13-103A,1,2,0.0144,LG,Grass/Herb,
2010,Old,13-103A,1,2,0.0048,DG,Grass/Herb,
2010,Old,13-103A,1,2,0,Li,Litter,
2010,Old,13-103A,2,1,0.22143,LS,Shrub,
2010,Old,13-103A,2,1,0,DS,Shrub,
2010,Old,13-103A,2,1,0.0192,LH,Grass/Herb,
2010,Old,13-103A,2,1,0,DH,Grass/Herb,
2010,Old,13-103A,2,1,0,LG,Grass/Herb,
2010,Old,13-103A,2,1,0,DG,Grass/Herb,
2010,Old,13-103A,2,1,0,Li,Litter,
2010,Old,13-103A,2,2,0.02196,LS,Shrub,
2010,Old,13-103A,2,2,0,DS,Shrub,
2010,Old,13-103A,2,2,0.0432,LH,Grass/Herb,
2010,Old,13-103A,2,2,0.024,DH,Grass/Herb,
2010,Old,13-103A,2,2,0.1128,LG,Grass/Herb,
2010,Old,13-103A,2,2,0.0528,DG,Grass/Herb,
2010,Old,13-103A,2,2,0,Li,Litter,
2010,Old,13-103A,3,1,0.24705,LS,Shrub,
2010,Old,13-103A,3,1,0.02196,DS,Shrub,
2010,Old,13-103A,3,1,0.0384,LH,Grass/Herb,
2010,Old,13-103A,3,1,0,DH,Grass/Herb,
2010,Old,13-103A,3,1,0,LG,Grass/Herb,
2010,Old,13-103A,3,1,0,DG,Grass/Herb,
2010,Old,13-103A,3,1,0,Li,Litter,
2010,Old,13-103A,3,2,0.118035,LS,Shrub,
2010,Old,13-103A,3,2,0,DS,Shrub,
2010,Old,13-103A,3,2,0.0384,LH,Grass/Herb,
2010,Old,13-103A,3,2,0,DH,Grass/Herb,
2010,Old,13-103A,3,2,0,LG,Grass/Herb,
2010,Old,13-103A,3,2,0,DG,Grass/Herb,
2010,Old,13-103A,3,2,0,Li,Litter,
1940,Old,13-12A,1,1,0.297375,LS,Shrub,
1940,Old,13-12A,1,1,0,DS,Shrub,
1940,Old,13-12A,1,1,0.0336,LH,Grass/Herb,
1940,Old,13-12A,1,1,0,DH,Grass/Herb,
1940,Old,13-12A,1,1,0,LG,Grass/Herb,
1940,Old,13-12A,1,1,0,DG,Grass/Herb,
1940,Old,13-12A,1,1,0,Li,Litter,
1940,Old,13-12A,1,2,0.25986,LS,Shrub,
1940,Old,13-12A,1,2,0.03294,DS,Shrub,
1940,Old,13-12A,1,2,0.112,LH,Grass/Herb,
1940,Old,13-12A,1,2,0,DH,Grass/Herb,
1940,Old,13-12A,1,2,0,LG,Grass/Herb,
1940,Old,13-12A,1,2,0,DG,Grass/Herb,
1940,Old,13-12A,1,2,0,Li,Litter,
1940,Old,13-12A,2,1,0.0549,LS,Shrub,
1940,Old,13-12A,2,1,0,DS,Shrub,
1940,Old,13-12A,2,1,0.024,LH,Grass/Herb,
1940,Old,13-12A,2,1,0,DH,Grass/Herb,
1940,Old,13-12A,2,1,0,LG,Grass/Herb,
1940,Old,13-12A,2,1,0,DG,Grass/Herb,
1940,Old,13-12A,2,1,0,Li,Litter,
1940,Old,13-12A,2,2,0.200385,LS,Shrub,
1940,Old,13-12A,2,2,0,DS,Shrub,
1940,Old,13-12A,2,2,0.0468,LH,Grass/Herb,
1940,Old,13-12A,2,2,0,DH,Grass/Herb,
1940,Old,13-12A,2,2,0.024,LG,Grass/Herb,
1940,Old,13-12A,2,2,0.0096,DG,Grass/Herb,
1940,Old,13-12A,2,2,0,Li,Litter,
1940,Old,13-12A,3,1,0.19215,LS,Shrub,
1940,Old,13-12A,3,1,0,DS,Shrub,
1940,Old,13-12A,3,1,0.0144,LH,Grass/Herb,
1940,Old,13-12A,3,1,0,DH,Grass/Herb,
1940,Old,13-12A,3,1,0.0144,LG,Grass/Herb,
1940,Old,13-12A,3,1,0.0048,DG,Grass/Herb,
1940,Old,13-12A,3,1,0,Li,Litter,
1940,Old,13-12A,3,2,0.03294,LS,Shrub,
1940,Old,13-12A,3,2,0,DS,Shrub,
1940,Old,13-12A,3,2,0.0096,LH,Grass/Herb,
1940,Old,13-12A,3,2,0,DH,Grass/Herb,
1940,Old,13-12A,3,2,0.0048,LG,Grass/Herb,
1940,Old,13-12A,3,2,0,DG,Grass/Herb,
1940,Old,13-12A,3,2,0,Li,Litter,
1940,Old,13-60A,1,1,0,LS,Shrub,
1940,Old,13-60A,1,1,0,DS,Shrub,
1940,Old,13-60A,1,1,0.0288,LH,Grass/Herb,
1940,Old,13-60A,1,1,0,DH,Grass/Herb,
1940,Old,13-60A,1,1,0.0336,LG,Grass/Herb,
1940,Old,13-60A,1,1,0.0624,DG,Grass/Herb,
1940,Old,13-60A,1,1,0,Li,Litter,
1940,Old,13-60A,1,2,0,LS,Shrub,
1940,Old,13-60A,1,2,0,DS,Shrub,
1940,Old,13-60A,1,2,0.1552,LH,Grass/Herb,
1940,Old,13-60A,1,2,0,DH,Grass/Herb,
1940,Old,13-60A,1,2,0.0384,LG,Grass/Herb,
1940,Old,13-60A,1,2,0.048,DG,Grass/Herb,
1940,Old,13-60A,1,2,0,Li,Litter,
1940,Old,13-60A,2,1,0.0549,LS,Shrub,
1940,Old,13-60A,2,1,0,DS,Shrub,
1940,Old,13-60A,2,1,0.0704,LH,Grass/Herb,
1940,Old,13-60A,2,1,0,DH,Grass/Herb,
1940,Old,13-60A,2,1,0.0288,LG,Grass/Herb,
1940,Old,13-60A,2,1,0.0336,DG,Grass/Herb,
1940,Old,13-60A,2,1,0,Li,Litter,
1940,Old,13-60A,2,2,0.11895,LS,Shrub,
1940,Old,13-60A,2,2,0,DS,Shrub,
1940,Old,13-60A,2,2,0.0336,LH,Grass/Herb,
1940,Old,13-60A,2,2,0,DH,Grass/Herb,
1940,Old,13-60A,2,2,0.0336,LG,Grass/Herb,
1940,Old,13-60A,2,2,0.0096,DG,Grass/Herb,
1940,Old,13-60A,2,2,0,Li,Litter,
1940,Old,13-60A,3,1,0.0549,LS,Shrub,
1940,Old,13-60A,3,1,0,DS,Shrub,
1940,Old,13-60A,3,1,0.0336,LH,Grass/Herb,
1940,Old,13-60A,3,1,0,DH,Grass/Herb,
1940,Old,13-60A,3,1,0.0288,LG,Grass/Herb,
1940,Old,13-60A,3,1,0.024,DG,Grass/Herb,
1940,Old,13-60A,3,1,0,Li,Litter,
