year,age,site,plot,duff,litter,fuelbed,flduff,fllitter,flfuelbed
1990,Young,13-31C,1,0.0325,0.015,0.005,0.461784038,1.534233306,0
1990,Young,13-31C,2,0.0475,0.015,0,0.092356808,0,12.07031137
1990,Young,13-31C,3,0.095,0,0,1.262209703,16.87656637,18.10546706
2000,Young,13-40C,1,0.0725,0.02,0.031,1.463501411,1.519482339,35.86278219
2000,Young,13-40C,2,0.08,0.02,0,2.987982048,6.077929357,11.95426073
2000,Young,13-40C,3,0.05,0.015,0.0635,3.140430111,0.75974117,5.977130364
2000,Young,13-48C,1,0.0175,0.00875,0,0.355962664,1.47831489,11.63038304
2000,Young,13-48C,2,0.045,0.00625,0,0.949233771,2.95662978,11.63038304
2000,Young,13-48C,3,0.03,0.015,0.06,0.860243105,11.08736167,23.26076609
2010,Young,14-F01,1,0.04375,0.015,0.2,5.664012349,20.1622922,8.81240537
2010,Young,14-F01,2,0.04,0.06125,0.25125,0.899049579,1.120127345,17.62481074
2010,Young,14-F01,3,0.0925,0.0425,0.19,5.21448756,10.0811461,35.24962148
Endemic,Young,13-3A,1,0.065,0.02,0.1925,0.259324431,1.435967704,11.29722399
Endemic,Young,13-3A,2,0.04,0.015,0.145,1.584760411,0,0
Endemic,Young,13-3A,3,0.06,0.01,0.05325,0.259324431,7.179838522,11.29722399
Endemic,Young,13-5A,1,0.0425,0.015,0.02875,0.287836308,7.889546004,5.642692642
Endemic,Young,13-5A,2,0.0275,0.01275,0.0025,0.431754461,2.86892582,5.642692642
Endemic,Young,13-5A,3,0.0325,0.01875,0.03375,0.172701785,3.586157275,16.92807792
Endemic,Young,13-20A,1,0.0275,0.0125,0.11,0.14673895,2.193867581,5.753289435
Endemic,Young,13-20A,2,0.02,0.01125,0.02525,2.670648891,2.925156775,0
Endemic,Young,13-20A,3,0.0275,0.015,0.025,3.991299441,9.506759518,5.753289435
Endemic,Young,13-81A,1,0.04125,0.05375,0.09625,0.749159467,0.717983852,39.54028397
Endemic,Young,13-81A,2,0.05,0.03,0.04,1.671201888,6.46185467,22.59444798
Endemic,Young,13-81A,3,0.0525,0.02,0.0725,1.1237392,2.871935409,0
