year,age,site,plot,plot_size,spp,status,sf,lifol,defol,li1hr,de1hr,li10hr,de10hr,li100hr,de100hr,cbh,lcw,dcw,acfl,cbd,ba_li,ba_gr,ba_ye,ba_nd,ba_tw,ba_br,ba_sn,ba_de
1940,Old,13-60A,1,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.204255,0
1940,Old,13-60A,1,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.20728,0
1940,Old,13-60A,1,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.726295,0
1940,Old,13-60A,2,100,PIEN,Li,S,1.57618348,0,0.81774139,0,0.780480091,0,0.226875837,0,0,0.34012808,0.00258203,0.239392487,0.019228312,2.35092295,0,0,0,0,0,0,0
1940,Old,13-60A,2,100,PIEN,Li,S,3.540990552,0,1.963177336,0,2.223187237,0,1.340209011,0,0,0.906756414,0.016922945,0.550416789,0.032762904,7.40325895,0,0,0,0,0,0,0
1940,Old,13-60A,2,100,PIEN,Li,S,0.787688225,0,0.395699096,0,0.340151194,0,0.044814431,0,0,0.156835295,0.000579893,0.118338732,0.026592974,0.950455,0,0,0,0,0,0,0
1940,Old,13-60A,2,100,PIEN,Li,S,1.25902763,0,0.645277991,0,0.593076508,0,0.137481326,0,0.1,0.263486345,0.001623363,0.190430562,0.013505714,1.74388855,0,0,0,0,0,0,0
1940,Old,13-60A,2,100,PIEN,Li,S,0.523349218,0,0.259515432,0,0.212851013,0,0.013568514,0,0.1,0.100928418,0.000269656,0.078286465,0.01909426,0.56752375,0,0,0,0,0,0,0
1940,Old,13-60A,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.606055,0
1940,Old,13-60A,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.454495,0
1940,Old,13-60A,3,100,PIEN,Li,S,0.833019451,0,0.419337393,0,0.363077774,0,0.051672106,0,0,0.166710672,0.000653656,0.125235684,0.021971173,1.0208358,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,3.116374348,0,1.70436639,0,1.871558658,0,1.007578095,0,0,0.769987749,0.012395185,0.482074074,0.025108025,6.11441055,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,3.343572399,0,1.842055607,0,2.05701204,0,1.178394819,0,0.2,0.842103487,0.015202738,0.518562801,0.025671426,6.7895478,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,0.614503045,0,0.306147949,0,0.255479876,0,0.022645705,0,0,0.119877657,0.000345766,0.092065099,0.026304314,0.6940678,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,0.228233214,0,0.111173642,0,0.082038082,0,0,0,0.05,0.042144494,4.96E-05,0.033940686,0.013310073,0.20430855,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,1.713099191,0,0.893277826,0,0.86546241,0,0.272414142,0,0.5,0.374425357,0.003556005,0.260637702,0.022276727,2.63056095,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,1.45523295,0,0.751553868,0,0.707437979,0,0.190162603,0,0,0.31043874,0.002164127,0.220678682,0.020624176,2.1126808,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,3.465025094,0,1.916406169,0,2.15869113,0,1.276428911,0,0.6,0.88165513,0.01812997,0.538143126,0.034496354,7.1640742,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,1.481913516,0,0.766110347,0,0.723385192,0,0.197980752,0,0.2,0.316938981,0.002437194,0.224802386,0.028820819,2.1645238,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,0.228233214,0,0.111173642,0,0.082038082,0,0,0,0,0.042144494,4.65E-05,0.033940686,0.016162231,0.20430855,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,1.54911161,0,0.802882651,0,0.763964886,0,0.218374229,0,0.05,0.333433338,0.002518396,0.235199426,0.01859284,2.29688055,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Li,S,5.076162316,0,2.954704463,0,3.673925016,0,3.102684183,0,1,1.480747598,0.051815909,0.803086678,0.045372129,13.13992255,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04352,0
