Height,Old 1940,Old 1960,Old 1990,Old 2000,Old 2010,Old Endemic,Young 1990,Young 2000,Young 2010,Young Endemic
22,0.001263296,0.008087248,0.002850849,0.000796887,0.002915132,0.046947323,0.00326559,0.007001561,0.000621362,0.005628605
22.25,0.00117026,0.006939426,0.00243387,0.000728353,0.002483712,0.04590967,0.00292765,0.006205561,0.000552115,0.005159726
22.5,0.000991181,0.005791605,0.002016891,0.000659818,0.002052292,0.045130336,0.002611524,0.005933016,0.000482867,0.004745909
22.75,0.000812102,0.004957092,0.001599911,0.000646318,0.001620872,0.044507427,0.002379112,0.00566047,0.00041362,0.004332093
23,0.000633024,0.004113224,0.001182932,0.000632818,0.001189451,0.04371726,0.0021467,0.005405775,0.000344372,0.003977766
23.25,0.000453945,0.003269356,0.000764925,0.000622803,0.000968339,0.04292788,0.001932207,0.005151079,0.000275125,0.003903094
23.5,0.000367903,0.002468093,0.000760345,0.000612789,0.000723765,0.040828746,0.001851162,0.004896383,0.000275125,0.003828421
23.75,0.000281861,0.001666831,0.000755764,0.000602774,0.000479191,0.038729611,0.00184196,0.004641687,0.000266333,0.003828421
24,0.000195818,0.000948222,0.000751183,0.000595704,0.000234617,0.036374093,0.001832758,0.004386991,0.00025754,0.003828421
24.25,0.000109776,0.000828445,0.000746603,0.000588635,0.000211156,0.033633222,0.001827388,0.004385842,0.000235866,0.003828421
24.5,0.000109776,0.000708668,0.000742022,0.000581565,0.000187694,0.031169776,0.001827388,0.003847551,0.000214192,0.003828421
24.75,0.000109776,0.000588892,0.000737442,0.000570101,0.000164232,0.029037486,0.001827388,0.00330926,0.000192517,0.003828421
25,0.000109776,0.00047847,0.000676319,0.000558636,0.00014077,0.027072453,0.00160749,0.002770969,0.000170843,0.003828421
25.25,0.000109776,0.000368049,0.000619778,0.000547171,0,0.02510742,0.001387592,0.002232677,0.000149169,0.003828421
25.5,9.60541E-05,0.000257627,0.000563236,0.000535706,0,0.024452142,0.001167694,0.001694386,0.000127494,0.003828421
25.75,8.23321E-05,0.000147206,0.000506695,0.000524241,0,0.023796863,0.000947796,0.001156095,0.000114612,0.003401257
26,6.86101E-05,3.67847E-05,0.000450153,0.000512776,0,0.02341151,0.000727898,0.000617804,0.000101731,0.002974093
26.25,5.48881E-05,3.67847E-05,0.000393612,0.000501311,0,0.023146554,0.000508,7.05791E-05,0.000101731,0.002546929
26.5,4.11661E-05,3.67847E-05,0.00033707,0.000489846,0,0.022881599,0.000288101,6.04964E-05,0.000101731,0.002119765
26.75,2.7444E-05,3.67847E-05,0.000280529,0.000428615,0,0.022616643,6.82034E-05,5.04137E-05,0.000101731,0.001692601
27,1.3722E-05,3.67847E-05,0.000270463,0.000367385,0,0.022351687,6.82034E-05,4.03309E-05,0.000101731,0.001265437
27.25,0,3.67847E-05,0.000260397,0.000306154,0,0.022086732,6.82034E-05,3.02482E-05,0.000101731,0.000838273
27.5,0,3.67847E-05,0.000250332,0.000244923,0,0.021821776,6.82034E-05,2.01655E-05,0.000101731,0.000411109
27.75,0,3.67847E-05,0.000240266,0.000183692,0,0.021556821,6.82034E-05,1.00827E-05,0.000101731,0.000411109
28,0,3.67847E-05,0.0002302,0.000122462,0,0.021291865,6.82034E-05,0,0.000101731,0.00035972
28.25,0,3.67847E-05,0.000220135,6.12308E-05,0,0.021291865,6.82034E-05,0,0.000101731,0.000308331
28.5,0,3.67847E-05,0.000210069,0,0,0.021291865,6.82034E-05,0,9.44371E-05,0.000256943
28.75,0,3.67847E-05,0.000200003,0,0,0.021291865,6.82034E-05,0,8.71436E-05,0.000205554
29,0,3.67847E-05,0.000176038,0,0,0.021291865,6.56995E-05,0,7.98501E-05,0.000154166
29.25,0,3.67847E-05,0.000152074,0,0,0.021291865,6.31956E-05,0,7.25566E-05,0.000102777
29.5,0,3.67847E-05,0.000128109,0,0,0.021291865,6.06917E-05,0,6.52631E-05,5.13886E-05
29.75,0,3.67847E-05,0.000104144,0,0,0.021291865,5.81878E-05,0,5.79696E-05,0
30,0,3.67847E-05,7.9144E-05,0,0,0.020962426,5.5684E-05,0,5.06761E-05,0
30.25,0,3.67847E-05,5.41436E-05,0,0,0.019120831,5.31801E-05,0,4.33826E-05,0
30.5,0,3.67847E-05,2.91432E-05,0,0,0.017279235,5.06762E-05,0,4.33826E-05,0
30.75,0,3.67847E-05,4.14283E-06,0,0,0.015163571,4.81723E-05,0,3.79598E-05,0
31,0,3.67847E-05,3.10713E-06,0,0,0.013047906,4.81723E-05,0,3.2537E-05,0
31.25,0,3.67847E-05,2.36733E-06,0,0,0.010386423,4.81723E-05,0,3.09876E-05,0
31.5,0,3.67847E-05,1.38094E-06,0,0,0.008828503,4.62409E-05,0,2.89218E-05,0
31.75,0,3.67847E-05,0,0,0,0.006751276,4.43095E-05,0,2.60296E-05,0
