Year,Age,Site,Plot,n1,n10,n100,dsq100,fl1,fl10,fl100,nS1000,dsqS1000,flS1000,nR1000,dsqR1000,flR1000
2000,Old,13-58A,3,10,3,1,2.87,0.288482954,2.156528311,5.655369384,3,171.2646,29.86539346,1,175.8276,22.9958225
2000,Old,13-49B,1,32,6,1,2.87,0.921306332,4.304464012,5.644102575,8,753.8076,131.1882895,2,175.038201,22.84697267
2000,Old,13-49B,2,17,4,0,0,0.489443989,2.869642675,0,9,1024.2414,178.2530148,1,80.4609,10.50221022
2000,Old,13-49B,3,156,15,2,5.74,4.491368371,10.76116003,11.28820515,8,1445.8626,251.6295157,2,80.4609,10.50221022
2010,Old,13-09C,1,74,13,6,17.22,2.144840854,9.389024207,34.09223112,8,791.5284,138.6788831,5,1050.5547,138.0459808
2010,Old,13-09C,2,107,19,10,28.7,3.101323937,13.72242,56.8203852,6,551.704725,96.66083374,9,3684.4704,484.1502591
2010,Old,13-09C,3,131,19,3,8.61,3.796947998,13.72242,17.04611556,5,374.4702,65.60864916,7,1270.6434,166.966284
2010,Old,13-100A,1,26,9,6,17.22,0.749159467,6.46185467,33.89167197,1,38.9376,6.781887528,2,1315.665,171.8652162
2010,Old,13-100A,2,21,2,0,0,0.605090339,1.435967704,0,1,57.836025,10.07348724,6,788.9427,103.0595233
2010,Old,13-100A,3,15,0,0,0,0.432207385,0,0,4,445.995225,77.68042853,3,195.2964,25.51155347
2010,Old,13-101A,1,54,5,2,5.74,1.656966112,3.822994065,12.03069404,6,440.9379,81.78577544,4,421.963425,58.69977255
2010,Old,13-101A,2,16,11,4,11.48,0.490952922,8.410586943,24.06138808,11,1510.42905,280.1564826,6,743.3127,103.4030057
2010,Old,13-101A,3,78,10,5,14.35,2.393395495,7.64598813,30.07673511,8,1104.3981,204.8452968,7,484.1343,67.34842788
2010,Old,13-103A,1,58,9,1,2.87,1.75249315,6.776174758,5.923374012,6,522.38745,95.41168158,10,603.3807,82.65354655
2010,Old,13-103A,2,96,26,2,5.74,2.900678317,19.57561597,11.84674802,21,1393.46415,254.5098619,9,958.8384,131.3455905
